sequence,value
HomeMenuLoggedOut-LoginUserInfo-LoginAttempt-LoginSuccess-Notification-NotificationRecruiterMail-end,2
HomeMenuLoggedOut-Search-Apply-UpdateFlow-ViewSimilarJobs-end,1
HomeMenuLoggedOut-LoginAttempt-Notification-Search-Apply-Edit-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginUserInfo-LoginSuccess-EmailVerify-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-end,267
HomeMenuLoggedOut-Apply-UpdateFlowSkip-end,3
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Add-Search-end,1
HomeMenuLoggedOut-LoginUserInfo-NotificationJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-Notification-end,5
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Notification-NotificationJobAlert-NotificationRecruiterMail-end,2
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Notification-NotificationJobAlert-Apply-end,2
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-NotificationRecruiterMail-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Apply-RateApp-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-ProfileViews-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-ProfileViews-end,2
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Edit-end,4
HomeMenuLoggedOut-ForgotPassword-Search-LoginAttempt-LoginSuccess-LoginUserInfo-end,1
HomeMenuLoggedOut-ForgotPassword-Truecaller-Search-ViewSimilarJobs-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Delete-Edit-end,3
HomeMenuLoggedOut-LoginSuccess-LoginAttempt-LoginUserInfo-Add-Edit-end,1
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-LoginAttempt-Notification-NotificationRecruiterMail-end,1
HomeMenuLoggedOut-Search-LoginAttempt-ForgotPassword-LoginSuccess-LoginUserInfo-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-ShineLearning-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-Logout-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-ViewSimilarJobs-Search-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginUserInfo-LoginSuccess-end,9
HomeMenuLoggedOut-LoginAttempt-Logout-end,1
HomeMenuLoggedOut-LoginAttempt-Apply-ViewSimilarJobs-end,2
HomeMenuLoggedOut-ForgotPassword-Apply-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-SaveJobAlert-end,1
HomeMenuLoggedOut-ForgotPassword-Edit-Delete-Apply-UpdateFlowSkip-end,1
HomeMenuLoggedOut-UpdateFlow-UpdateFlowSkip-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Edit-Delete-end,13
HomeMenuLoggedOut-LoginAttempt-Truecaller-LoginSuccess-LoginUserInfo-Apply-end,1
HomeMenuLoggedOut-Truecaller-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-Search-end,20
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginSuccess-LoginUserInfo-end,15
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-NotificationRecruiterMail-Logout-end,1
HomeMenuLoggedOut-ForgotPassword-NotificationJobAlert-Apply-UpdateFlow-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-Edit-end,3
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginUserInfo-end,1
HomeMenuLoggedOut-ForgotPassword-GCMOpened-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-Logout-end,2
HomeMenuLoggedOut-Apply-Edit-Add-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-NotificationRecruiterMail-Search-end,1
HomeMenuLoggedOut-ForgotPassword-Search-SaveJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-Search-Apply-UpdateFlow-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Search-Edit-end,1
HomeMenuLoggedOut-Truecaller-ForgotPassword-end,3
HomeMenuLoggedOut-ForgotPassword-Search-end,6
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-end,6
HomeMenuLoggedOut-LoginAttempt-ShineLearning-end,2
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-end,39
HomeMenuLoggedOut-ShineLearning-Search-LoginAttempt-ForgotPassword-LoginUserInfo-end,1
HomeMenuLoggedOut-LoginUserInfo-Notification-NotificationProfileViews-NotificationRecruiterMail-Delete-end,1
HomeMenuLoggedOut-LoginSuccess-LoginAttempt-LoginUserInfo-end,3
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginUserInfo-LoginSuccess-Edit-end,9
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-FeedbackSend-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-end,14
HomeMenuLoggedOut-LoginSuccess-LoginAttempt-LoginUserInfo-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-SaveJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Search-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginSuccess-LoginUserInfo-UpdateFlowSkip-end,1
HomeMenuLoggedOut-LoginAttempt-Add-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-NotificationProfileViews-end,25
HomeMenuLoggedOut-LoginUserInfo-LoginAttempt-LoginSuccess-Apply-UpdateFlowSkip-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-EmailVerify-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-NotificationRecruiterMail-end,30
HomeMenuLoggedOut-Truecaller-Search-LoginSuccess-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Apply-UpdateFlowSkip-end,16
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-LoginAttempt-Edit-Search-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Edit-Apply-end,3
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Logout-Apply-end,1
HomeMenuLoggedOut-ShineLearning-end,5
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Add-Delete-end,1
HomeMenuLoggedOut-Savejobs-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-LoginAttempt-Search-end,1
HomeMenuLoggedOut-LoginSuccess-LoginAttempt-end,1
HomeMenuLoggedOut-LoginAttempt-Search-Apply-UpdateFlow-ViewSimilarJobs-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Add-Edit-end,1
HomeMenuLoggedOut-Truecaller-end,17
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-CareerPlusAdClick-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-Search-SaveJobAlert-end,1
HomeMenuLoggedOut-Apply-Search-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-end,7
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Search-ShineLearning-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-NotificationJobAlert-end,85
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Apply-UpdateFlowSkip-RateApp-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-ShineLearning-end,1
HomeMenuLoggedOut-LoginAttempt-Edit-Add-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-Edit-UpdateFlow-Notification-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginSuccess-LoginUserInfo-Add-end,1
HomeMenuLoggedOut-Apply-UpdateFlow-UpdateFlowSkip-end,6
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-UpdateFlow-end,19
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginUserInfo-LoginSuccess-Edit-end,5
HomeMenuLoggedOut-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Email-Notification-end,1
HomeMenuLoggedOut-UpdateFlow-UpdateFlowSkip-Apply-Edit-RateApp-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-Notification-NotificationProfileViews-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Savejobs-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-Apply-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-end,35
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-LoginAttempt-Notification-NotificationJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginSuccess-LoginUserInfo-Logout-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Notification-NotificationJobAlert-Logout-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginSuccess-LoginUserInfo-Apply-end,3
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginUserInfo-LoginSuccess-NotificationJobAlert-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-ProfileViews-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginUserInfo-LoginSuccess-UpdateFlowSkip-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-NotificationProfileViews-Search-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-Notification-end,5
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-end,3
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-Add-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginAttempt-LoginSuccess-Edit-Logout-end,1
HomeMenuLoggedOut-ForgotPassword-NotificationProfileViews-Search-SaveJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Edit-Delete-end,1
HomeMenuLoggedOut-Notification-Apply-UpdateFlowSkip-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-end,28
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Apply-Search-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-ViewSimilarJobs-end,4
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-LoginAttempt-Search-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-Search-ForgotPassword-end,3
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Delete-Edit-end,4
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-NotificationProfileViews-end,4
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Search-Apply-end,18
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginUserInfo-end,1
HomeMenuLoggedOut-LoginAttempt-Search-ForgotPassword-LoginSuccess-LoginUserInfo-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Search-end,10
HomeMenuLoggedOut-LoginAttempt-Search-SaveJobAlert-ForgotPassword-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Edit-NotificationProfileViews-end,3
HomeMenuLoggedOut-Search-end,31
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Search-end,29
HomeMenuLoggedOut-Search-Apply-UpdateFlowSkip-end,1
HomeMenuLoggedOut-ForgotPassword-Delete-Apply-UpdateFlow-Notification-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginSuccess-LoginUserInfo-end,10
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-NotificationJobAlert-end,75
HomeMenuLoggedOut-Edit-EmailVerify-Apply-end,1
