sequence,value
Apply-UpdateFlowSkip-Notification-NotificationProfileViews-ProfileViews-NotificationRecruiterMail-end,1
Apply-UpdateFlowSkip-UpdateFlow-Notification-NotificationRecruiterMail-NotificationProfileViews-end,2
Apply-UpdateFlowSkip-Notification-NotificationProfileViews-Edit-end,1
Apply-ViewSimilarJobs-Savejobs-Search-end,2
Apply-RateApp-ShareJob-end,1
Apply-Notification-NotificationProfileViews-ProfileViews-end,15
Apply-UpdateFlowSkip-Notification-NotificationProfileViews-end,18
Apply-Edit-NotificationProfileViews-end,1
Apply-Notification-NotificationRecruiterMail-NotificationProfileViews-ProfileViews-Search-end,1
Apply-UpdateFlow-UpdateFlowSkip-ShareJob-end,6
Apply-NotificationJobAlert-NotificationProfileViews-ProfileViews-end,1
Apply-UpdateFlow-Search-Edit-end,1
Apply-NotificationRecruiterMail-end,19
Apply-ViewSimilarJobs-Search-Notification-end,1
Apply-UpdateFlowSkip-Search-Notification-end,1
Apply-UpdateFlow-UpdateFlowSkip-RateApp-end,35
Apply-RateApp-Edit-Search-end,1
Apply-Search-NotificationProfileViews-end,3
Apply-Notification-NotificationProfileViews-Search-end,8
Apply-Notification-NotificationProfileViews-ProfileViews-Edit-end,2
Apply-UpdateFlow-Edit-Notification-NotificationRecruiterMail-end,1
Apply-NotificationRecruiterMail-ProfileViews-end,1
Apply-UpdateFlow-Savejobs-end,5
Apply-UpdateFlowSkip-NotificationJobAlert-Notification-NotificationRecruiterMail-end,1
Apply-Notification-Search-ViewSimilarJobs-RateApp-NotificationJobAlert-end,1
Apply-UpdateFlow-Delete-Edit-GCMOpened-UpdateFlowSkip-end,1
Apply-ViewSimilarJobs-Search-SaveJobAlert-end,2
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-RateApp-Notification-end,1
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-Edit-end,2
Apply-Edit-Notification-NotificationRecruiterMail-end,3
Apply-UpdateFlow-Search-Delete-Edit-end,1
Apply-Search-ProfileViews-end,3
Apply-Delete-Search-end,3
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationRecruiterMail-NotificationProfileViews-end,8
